section_size,eccentricity,length,DCR,median,log_standard_deviation
W33X221,0.0,1,0.75,2770.474615032449,0.3046892764550795
W33X221,0.0,1,0.5,-,-
W33X221,0.0,1,0.25,-,-
W33X221,0.0,1,0.15,-,-
W33X221,0.0,1,0.05,-,-
W14X665,0.0,1,0.95,2403.7113163990693,0.38391303979974595
W14X665,0.0,1,0.85,-,-
W14X665,0.0,1,0.75,-,-
W14X665,0.0,1,0.5,-,-
W14X665,0.0,1,0.25,-,-
W14X665,0.0,1,0.15,-,-
W14X665,0.0,1,0.05,-,-
W36X194,0.0,1,0.95,598.9739067827999,0.5897648556522892
W36X194,0.0,1,0.85,1947.3319116127282,0.36158667168507796
W36X194,0.0,1,0.75,2746.326845160467,0.30138582019484833
W36X194,0.0,1,0.5,-,-
W36X194,0.0,1,0.25,-,-
W36X194,0.0,1,0.15,-,-
W36X194,0.0,1,0.05,-,-
W27X281,0.0,1,0.95,1009.5959339834587,0.46327498307350035
W27X281,0.0,1,0.85,2533.2020797902346,0.30431163130608463
W27X281,0.0,1,0.75,3248.304088534938,0.21419831372645692
W27X281,0.0,1,0.5,-,-
W27X281,0.0,1,0.25,-,-
W27X281,0.0,1,0.15,-,-
W27X281,0.0,1,0.05,-,-
W24X335,0.0,1,0.95,1328.7070582697897,0.40829028588821853
W24X335,0.0,1,0.85,2685.8111022583867,0.21902071331737566
W24X335,0.0,1,0.75,-,-
W24X335,0.0,1,0.5,-,-
W24X335,0.0,1,0.25,-,-
W24X335,0.0,1,0.15,-,-
W24X335,0.0,1,0.05,-,-
W30X235,0.0,1,0.95,714.6447730034073,0.5343398072698138
W30X235,0.0,1,0.85,2203.4827810713073,0.3660289260479814
W30X235,0.0,1,0.75,2586.734021042661,0.1987280685424629
W30X235,0.0,1,0.5,-,-
W30X235,0.0,1,0.25,-,-
W30X235,0.0,1,0.15,-,-
W30X235,0.0,1,0.05,-,-
W33X201,0.0,1,0.95,504.99105730825255,0.6507354333480999
W33X201,0.0,1,0.85,1777.7790765557843,0.3460241416559281
W33X201,0.0,1,0.75,2546.94413348617,0.29786145472084485
W33X201,0.0,1,0.5,-,-
W33X201,0.0,1,0.25,-,-
W33X201,0.0,1,0.15,-,-
W33X201,0.0,1,0.05,-,-
W36X182,0.0,1,0.95,540.5983456568543,0.6199588925373923
W36X182,0.0,1,0.85,1837.7079168107311,0.35408319843129543
W36X182,0.0,1,0.75,2743.867664059558,0.33119745209853707
W36X182,0.0,1,0.5,-,-
W36X182,0.0,1,0.25,-,-
W36X182,0.0,1,0.15,-,-
W36X182,0.0,1,0.05,-,-
W27X258,0.0,1,0.95,908.9239589271451,0.48862199853961696
W27X258,0.0,1,0.85,2402.830445091861,0.31427708857049835
W27X258,0.0,1,0.75,3168.7156896474494,0.2259205642234567
W27X258,0.0,1,0.5,-,-
W27X258,0.0,1,0.25,-,-
W27X258,0.0,1,0.15,-,-
W27X258,0.0,1,0.05,-,-
W14X605,0.0,1,0.95,2289.335910572031,0.4046248295624219
W14X605,0.0,1,0.85,-,-
W14X605,0.0,1,0.75,-,-
W14X605,0.0,1,0.5,-,-
W14X605,0.0,1,0.25,-,-
W14X605,0.0,1,0.15,-,-
W14X605,0.0,1,0.05,-,-
W24X306,0.0,1,0.95,1214.1637573733385,0.4249064770629436
W24X306,0.0,1,0.85,2696.3139738002587,0.2567322983094026
W24X306,0.0,1,0.75,-,-
W24X306,0.0,1,0.5,-,-
W24X306,0.0,1,0.25,-,-
W24X306,0.0,1,0.15,-,-
W24X306,0.0,1,0.05,-,-
W36X170,0.0,1,0.95,480.7962986296616,0.6575715347197808
W36X170,0.0,1,0.85,1711.605819502128,0.3488767832595734
W36X170,0.0,1,0.75,2512.071144211683,0.3078075832911312
W36X170,0.0,1,0.5,-,-
W36X170,0.0,1,0.25,-,-
W36X170,0.0,1,0.15,-,-
W36X170,0.0,1,0.05,-,-
W30X211,0.0,1,0.95,604.7520077062153,0.5961811965091856
W30X211,0.0,1,0.85,1991.7947666764671,0.36299887775937656
W30X211,0.0,1,0.75,2738.4795921651285,0.28422914426121537
W30X211,0.0,1,0.5,-,-
W30X211,0.0,1,0.25,-,-
W30X211,0.0,1,0.15,-,-
W30X211,0.0,1,0.05,-,-
W36X160,0.0,1,0.95,437.2858610904612,0.6768583199869156
W36X160,0.0,1,0.85,1619.2562492977413,0.3440031941864547
W36X160,0.0,1,0.75,2373.993493567951,0.30010796574162235
W36X160,0.0,1,0.5,-,-
W36X160,0.0,1,0.25,-,-
W36X160,0.0,1,0.15,-,-
W36X160,0.0,1,0.05,-,-
W27X235,0.0,1,0.95,791.380153309945,0.5310015438925507
W27X235,0.0,1,0.85,2316.418250705089,0.3463587322247191
W27X235,0.0,1,0.75,2447.0739653341398,0.1364429150143858
W27X235,0.0,1,0.5,-,-
W27X235,0.0,1,0.25,-,-
W27X235,0.0,1,0.15,-,-
W27X235,0.0,1,0.05,-,-
W24X279,0.0,1,0.95,1104.682326833996,0.4436424539788552
W24X279,0.0,1,0.85,2634.547231361801,0.28047110614770665
